City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Mataura,-46.1927,168.8643,46.47,92,96,4.47,NZ,2022-07-14 00:09:56
68,Isangel,-19.55,169.2667,80.06,82,9,17.34,VU,2022-07-14 00:09:56
69,Lebu,-37.6167,-73.65,43.95,78,92,1.66,CL,2022-07-14 00:09:57
70,Hofn,64.2539,-15.2082,51.04,81,54,8.93,IS,2022-07-14 00:09:57
71,Luderitz,-26.6481,15.1594,55.27,60,0,16.2,NA,2022-07-14 00:09:57
72,Tuktoyaktuk,69.4541,-133.0374,36.7,94,100,18.7,CA,2022-07-14 00:09:57
73,Cherskiy,68.75,161.3,55.6,44,85,17.11,RU,2022-07-14 00:09:58
74,Kalmunai,7.4167,81.8167,77.29,67,22,5.57,LK,2022-07-14 00:09:58
75,Marrakesh,31.6315,-8.0083,84.27,51,40,5.75,MA,2022-07-14 00:06:50
76,Camacha,33.0833,-16.3333,65.62,77,20,1.14,PT,2022-07-14 00:09:58
77,Mustasaari,63.1142,21.6822,62.24,94,100,3.44,FI,2022-07-14 00:09:58
78,Bethel,41.3712,-73.414,82.49,62,75,9.22,US,2022-07-14 00:09:59
79,Margate,51.3813,1.3862,65.3,88,100,1.99,GB,2022-07-14 00:09:59
80,Umm Lajj,25.0213,37.2685,83.48,75,68,8.75,SA,2022-07-14 00:09:59
81,Port-Gentil,-0.7193,8.7815,73.4,80,28,11.03,GA,2022-07-14 00:09:59
82,Wasilla,61.5814,-149.4394,60.48,80,100,4.61,US,2022-07-14 00:10:00
83,New Norfolk,-42.7826,147.0587,45.72,84,83,3.2,AU,2022-07-14 00:10:00
84,Alugan,12.2188,125.4808,80.82,84,99,2.1,PH,2022-07-14 00:10:00
85,Pangnirtung,66.1451,-65.7125,46.63,83,87,3.31,CA,2022-07-14 00:10:01
86,Montelibano,7.9829,-75.4229,77.16,92,70,5.95,CO,2022-07-14 00:10:01
87,Stolin,51.8912,26.846,55.04,98,29,8.37,BY,2022-07-14 00:11:01
88,Miandrivazo,-19.5167,45.4667,66.7,52,0,2.57,MG,2022-07-14 00:11:02
89,Mustafakemalpasa,40.0353,28.4117,60.44,79,0,1.9,TR,2022-07-14 00:11:02
90,Vaitape,-16.5167,-151.75,78.26,71,42,19.46,PF,2022-07-14 00:11:02
91,Malanje,-9.5402,16.341,62.44,39,0,1.41,AO,2022-07-14 00:11:02
92,Mahebourg,-20.4081,57.7,66.25,71,83,16.89,MU,2022-07-14 00:11:03
93,Oranjestad,12.524,-70.027,79.54,87,28,20.96,AW,2022-07-14 00:07:41
94,Tromso,69.6496,18.957,53.62,87,100,11.5,NO,2022-07-14 00:11:03
95,Goderich,43.7501,-81.7165,64.9,76,47,8.97,CA,2022-07-14 00:11:04
96,Cacoal,-11.4386,-61.4472,78.39,46,48,3.22,BR,2022-07-14 00:11:04
97,Rio Grande,-32.035,-52.0986,48.94,80,0,16.75,BR,2022-07-14 00:06:26
98,Naze,28.3667,129.4833,81.81,80,96,9.98,JP,2022-07-14 00:11:04
99,Vila Franca Do Campo,37.7167,-25.4333,68.2,84,81,11.12,PT,2022-07-14 00:11:05
100,Ossora,59.2353,163.0719,72.54,63,27,3.51,RU,2022-07-14 00:11:05
101,Qaanaaq,77.484,-69.3632,38.68,97,100,6.26,GL,2022-07-14 00:11:05
102,Grand Gaube,-20.0064,57.6608,66.38,88,59,5.01,MU,2022-07-14 00:11:05
103,Egvekinot,66.3167,-179.1667,51.17,74,94,3.02,RU,2022-07-14 00:11:06
104,Nikolskoye,59.7035,30.7861,65.88,73,63,4.63,RU,2022-07-14 00:11:06
105,Port Alfred,-33.5906,26.891,53.19,81,0,3.0,ZA,2022-07-14 00:11:06
106,Carnarvon,-24.8667,113.6333,66.38,82,26,9.89,AU,2022-07-14 00:11:07
107,Keetmanshoop,-26.5833,18.1333,52.11,38,0,5.32,NA,2022-07-14 00:11:07
108,Kodiak,57.79,-152.4072,62.11,63,40,10.36,US,2022-07-14 00:11:07
109,Maturin,9.75,-63.1767,73.42,87,70,6.26,VE,2022-07-14 00:11:07
110,Dondo,-19.6094,34.7431,59.61,85,0,2.98,MZ,2022-07-14 00:11:08
111,Hithadhoo,-0.6,73.0833,83.01,74,89,13.53,MV,2022-07-14 00:11:08
112,Victoria,22.2855,114.1577,86.97,84,95,3.0,HK,2022-07-14 00:07:59
113,Jiujiang,29.7333,115.9833,87.37,67,100,1.81,CN,2022-07-14 00:11:08
114,Nemuro,43.3236,145.575,60.51,93,98,7.85,JP,2022-07-14 00:09:08
115,Faanui,-16.4833,-151.75,78.31,71,35,19.55,PF,2022-07-14 00:11:09
116,Mar Del Plata,-38.0023,-57.5575,53.1,82,0,14.0,AR,2022-07-14 00:06:17
117,Kimparana,12.8347,-4.9244,82.72,58,100,7.16,ML,2022-07-14 00:11:09
118,Ashland,40.8167,-82.2665,67.26,95,65,4.45,US,2022-07-14 00:07:18
119,Amboasary,-25.0333,46.3833,61.65,88,0,4.03,MG,2022-07-14 00:11:09
