City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kruisfontein,ZA,-34.0033,24.7314,71.89,26,0,6.73,clear sky
80,Proletarskiy,RU,50.7914,35.7731,66.33,64,92,9.78,overcast clouds
81,Victoria,HK,22.2855,114.1577,87.85,80,100,11.99,overcast clouds
82,Port Elizabeth,ZA,-33.918,25.5701,77.29,31,0,6.91,clear sky
83,Marzuq,YE,14.4,46.4667,93.02,20,100,9.55,overcast clouds
84,Saint Anthony,US,45.0205,-93.218,85.17,67,75,4.61,broken clouds
85,Oktyabrskiy,RU,54.4815,53.471,69.69,79,0,3.36,clear sky
86,Ozernovskiy,RU,51.5,156.5167,53.51,97,95,0.78,overcast clouds
87,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,65,12.12,broken clouds
88,Kapaa,US,22.0752,-159.319,74.19,92,39,13.18,light rain
89,Ust-Tsilma,RU,65.441,52.1498,76.42,49,99,4.07,overcast clouds
90,Yar-Sale,RU,66.8333,70.8333,60.89,56,22,7.7,few clouds
91,Mount Gambier,AU,-37.8333,140.7667,53.51,94,75,10.36,shower rain
92,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.1,80,42,14.81,scattered clouds
93,Alamogordo,US,32.8995,-105.9603,87.57,32,0,6.91,clear sky
94,Dordrecht,NL,51.81,4.6736,74.98,51,17,5.01,few clouds
95,Namibe,AO,-15.1961,12.1522,68.32,83,3,9.31,clear sky
96,Narsaq,GL,60.9167,-46.05,41.79,89,100,4.83,overcast clouds
97,Avera,US,33.194,-82.5271,87.55,54,83,2.95,broken clouds
98,Kalabo,ZM,-14.97,22.6814,72.19,25,0,5.97,clear sky
99,Saskylakh,RU,71.9167,114.0833,53.42,67,39,9.53,scattered clouds
100,Manokwari,ID,-0.8667,134.0833,77.76,82,87,3.94,overcast clouds
101,Manta,EC,-0.95,-80.7333,74.98,78,100,8.05,overcast clouds
102,Sao Joaquim Do Monte,BR,-8.4325,-35.8044,73.33,82,85,14.2,overcast clouds
103,San Quintin,MX,30.4833,-115.95,70.74,73,1,7.45,clear sky
104,Punta Arenas,CL,-53.15,-70.9167,32.11,93,75,8.05,broken clouds
105,New Norfolk,AU,-42.7826,147.0587,49.5,76,99,1.01,heavy intensity rain
106,Chifeng,CN,42.2683,118.9636,67.93,85,89,1.36,overcast clouds
107,Alihe,CN,50.5667,123.7167,63.19,96,99,2.1,overcast clouds
108,Cayenne,GF,4.9333,-52.3333,86.04,1,100,3.44,overcast clouds
109,Airai,TL,-8.9266,125.4092,54.19,85,43,3.44,scattered clouds
110,Nikolskoye,RU,59.7035,30.7861,64.87,60,43,7.27,scattered clouds
111,Klaksvik,FO,62.2266,-6.589,52.72,97,100,16.91,light rain
112,Longyearbyen,SJ,78.2186,15.6401,58.84,58,20,17.27,few clouds
113,Vostok,RU,46.4856,135.8833,56.84,97,100,3.18,overcast clouds
114,Flin Flon,CA,54.7682,-101.865,78.64,61,100,4.61,smoke
115,Palu,ID,-0.8917,119.8707,76.75,95,100,3.33,overcast clouds
116,Atbasar,KZ,51.8,68.3333,71.19,67,32,18.1,scattered clouds
117,Talnakh,RU,69.4865,88.3972,70.21,46,12,6.55,few clouds
118,Saint George,US,37.1041,-113.5841,93.79,28,0,1.99,clear sky
119,Ribeira Grande,PT,38.5167,-28.7,79.2,69,20,5.75,few clouds
120,Dikson,RU,73.5069,80.5464,47.52,72,36,7.9,scattered clouds
121,Bluff,NZ,-46.6,168.3333,41.81,82,72,15.1,broken clouds
122,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,67,75,12.66,broken clouds
123,Isangel,VU,-19.55,169.2667,68.11,88,100,0.0,overcast clouds
124,Mar Del Plata,AR,-38.0023,-57.5575,49.08,80,100,17.27,light intensity drizzle
125,Cabo San Lucas,MX,22.8909,-109.9124,86.61,64,52,6.42,broken clouds
126,Superior,US,46.7208,-92.1041,82.62,71,0,5.75,clear sky
127,Cherskiy,RU,68.75,161.3,36.7,88,9,8.03,clear sky
128,Teyateyaneng,LS,-29.1472,27.7489,50.58,33,0,1.72,clear sky
129,Tymovskoye,RU,50.8456,142.655,49.15,99,36,4.92,scattered clouds
130,Saldanha,ZA,-33.0117,17.9442,75.25,58,28,8.32,scattered clouds
131,Hambantota,LK,6.1241,81.1185,82.74,83,20,9.22,few clouds
132,Cacimba De Dentro,BR,-6.6417,-35.79,76.1,73,85,15.84,overcast clouds
133,Bengkulu,ID,-3.8004,102.2655,77.34,86,100,3.85,overcast clouds
134,Bainbridge,US,47.6262,-122.5212,66.51,81,95,5.01,overcast clouds
135,Lhokseumawe,ID,5.1801,97.1507,79.48,83,79,2.19,broken clouds
136,San Pedro,PH,14.35,121.0167,76.35,93,40,3.44,scattered clouds
137,Pocoes,BR,-14.5297,-40.3653,73.67,57,71,7.67,broken clouds
138,Pangnirtung,CA,66.1451,-65.7125,53.6,66,20,14.97,few clouds
139,Majene,ID,-3.5403,118.9707,78.17,87,100,11.25,overcast clouds
140,Hami,CN,42.8,93.45,87.64,15,100,8.61,overcast clouds
141,Abha,SA,18.2164,42.5053,76.82,44,40,11.5,scattered clouds
142,Yatou,CN,37.15,122.3833,74.26,73,90,1.5,overcast clouds
143,Vazante,BR,-17.9869,-46.9078,82.74,29,35,7.18,scattered clouds
144,Poso,ID,-1.3959,120.7524,76.39,88,99,4.34,overcast clouds
145,Hobart,AU,-42.8794,147.3294,49.86,75,40,11.5,scattered clouds
146,Qaanaaq,GL,77.484,-69.3632,54.12,54,12,3.51,few clouds
147,Chokurdakh,RU,70.6333,147.9167,43.81,84,53,8.75,broken clouds
148,Bilkha,IN,21.4333,70.6,79.97,89,67,18.43,broken clouds
149,Marstal,DK,54.8562,10.5173,64.31,59,2,23.02,clear sky
150,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,57,0,10.36,clear sky
151,Cabedelo,BR,-6.9811,-34.8339,79.47,82,80,18.81,broken clouds
152,Grand Gaube,MU,-20.0064,57.6608,70.38,70,11,5.01,few clouds
153,Jaciara,BR,-15.9653,-54.9683,95.22,22,97,8.37,overcast clouds
154,Camacha,PT,33.0833,-16.3333,72.82,64,40,9.22,scattered clouds
155,The Valley,AI,18.217,-63.0578,86.14,70,40,17.27,scattered clouds
156,Kapoeta,SS,4.7717,33.5903,82.44,49,99,3.89,overcast clouds
157,Okha,RU,53.5739,142.9478,52.63,90,56,13.73,broken clouds
158,Kununurra,AU,-15.7667,128.7333,53.58,87,13,3.44,few clouds
159,Bichura,RU,50.5881,107.6022,53.35,78,2,2.68,clear sky
160,Palafrugell,ES,41.9174,3.1631,94.33,46,0,3.0,clear sky
161,Castro,BR,-24.7911,-50.0119,74.68,48,72,15.28,broken clouds
162,Victor Harbor,AU,-35.5667,138.6167,55.0,90,69,1.99,broken clouds
163,Srednekolymsk,RU,67.45,153.6833,55.11,73,98,7.25,overcast clouds
164,Vieste,IT,41.8825,16.175,83.21,50,0,8.57,clear sky
165,Magadan,RU,59.5667,150.8,56.53,97,99,4.76,overcast clouds
166,Lata,PT,40.1629,-8.3327,89.49,45,100,9.91,overcast clouds
167,Suixi,CN,33.8907,116.7747,78.85,93,100,2.57,light rain
168,Limon,CR,10.0,-83.0333,80.49,83,40,6.91,scattered clouds
169,Quatre Cocos,MU,-20.2078,57.7625,70.09,66,4,15.1,clear sky
170,Ambovombe,MG,-25.1667,46.0833,67.78,78,6,18.68,clear sky
171,Vila Velha,BR,-20.3297,-40.2925,84.15,60,20,13.8,few clouds
172,Codrington,AU,-38.2667,141.9667,53.65,86,100,18.34,light rain
173,Panalingaan,PH,8.7842,117.4231,79.5,83,51,1.97,broken clouds
174,Opuwo,NA,-18.0607,13.84,75.88,19,0,11.01,clear sky
175,Srandakan,ID,-7.9386,110.2506,76.55,88,62,6.96,broken clouds
176,Provideniya,RU,64.3833,-173.3,48.92,62,100,4.74,overcast clouds
177,Takoradi,GH,4.8845,-1.7554,77.02,82,100,12.3,overcast clouds
178,Sakakah,SA,29.9697,40.2064,101.57,11,0,6.17,clear sky
179,Kone,NC,-21.0595,164.8658,60.49,75,12,4.61,few clouds
180,Carnarvon,AU,-24.8667,113.6333,68.27,50,77,7.14,broken clouds
181,Sibolga,ID,1.7427,98.7792,77.4,81,100,4.34,overcast clouds
182,Mandalgovi,MN,45.7625,106.2708,60.13,56,3,8.9,clear sky
183,Ostersund,SE,63.1792,14.6357,54.61,76,75,21.85,broken clouds
