City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
586,Wilmington,US,80.01,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
595,Vega De Alatorre,MX,83.08,overcast clouds,20.0333,-96.6333,Hotel D Luxe
597,Talas,TR,77.67,few clouds,38.6908,35.5538,Fimaj Residence
598,Afua,BR,86.74,few clouds,-0.1567,-50.3867,Hotel Dias
599,Sao Joao Da Barra,BR,76.21,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
602,Pathein,MM,78.62,overcast clouds,16.7833,94.7333,Pathein Hotel
605,Cockburn Town,TC,81.59,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
606,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
607,Lasa,IT,83.35,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
609,Taraza,CO,88.11,scattered clouds,7.5836,-75.4007,Hotel Monteverde
612,Natal,BR,81.66,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
614,Dawei,MM,77.79,light rain,14.0833,98.2,Hotel Dawei
618,Misratah,LY,82.27,clear sky,32.3754,15.0925,Almasa Hotel
619,Ilhabela,BR,82.96,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
620,Damaturu,NG,86.25,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
621,Sao Gabriel Da Cachoeira,BR,89.71,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
629,San Cristobal,VE,83.73,broken clouds,7.7669,-72.225,Pirineos
630,Lavras,BR,78.93,overcast clouds,-21.2453,-44.9997,Hotel Ouro Lavras
631,Oktyabrskoye,RU,78.94,clear sky,43.0645,44.7417,Prolesok Mini-hotel
636,Champerico,GT,81.99,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
637,Salaga,GH,84.33,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
647,Saint-Georges,GD,81.99,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
652,Mazamari,PE,84.0,few clouds,-11.3258,-74.5308,Hospedaje Ratto
654,Paranapanema,BR,83.19,overcast clouds,-23.3886,-48.7228,Hotel Beira Rio
656,Arecibo,PR,88.57,few clouds,18.4724,-66.7157,Atlantic Sand Oasis
661,Margate,GB,76.1,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
664,Nha Trang,VN,82.4,scattered clouds,12.25,109.1833,Hanoi Golden Hotel
667,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
671,Ushtobe,KZ,79.0,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
673,Yining,CN,83.34,overcast clouds,29.0361,114.5636,Xiushui Hotel
674,Padilla,CO,80.17,broken clouds,3.2204,-76.3139,La Granadina
675,Kismayo,SO,75.76,overcast clouds,-0.3582,42.5454,Agan-Hotel
681,Tautira,PF,75.65,broken clouds,-17.7333,-149.15,Pension Oaoa
682,Santander Jimenez,MX,89.87,broken clouds,24.2167,-98.4667,Papas inc
690,Gat,IL,83.8,clear sky,31.61,34.7642,OlusHome
693,Boromo,BF,89.49,overcast clouds,11.75,-2.9333,Sama Camp
695,Tagusao,PH,80.44,scattered clouds,9.1924,117.8141,Caycay future beach resort
